Name Longitude(°N) Latitude(°E) VxI VyI VxE VyE Sx Sy Cor SYear Dur n
PAK4 75.13 40.848 27.6 11.9 -0.9 10.3 0.4 0.4 0.004 1997.7 8.9 8
PAN0 80.04 43.994 29.5 3.9 1.3 3.5 0.5 0.5 0.02 1995.5 5 10
PCH4 79.06 42.396 29.3 10.8 0.9 10.3 0.4 0.4 -0.003 1998.8 8 6
PDB4 80.228 43.756 29.5 6.8 1.2 6.6 0.4 0.5 0.006 1998.8 6.8 6
PISH 78.246 37.559 27.6 22.6 -1.2 21.9 1 0.8 0.009 1998.9 2.7 3
PKZ4 78.076 43.208 29.2 5.7 0.9 4.9 0.7 0.7 0.017 1998.8 3.9 4
PODGb 79.485 43.328 29.6 6 1.3 5.6 0.3 0.3 0.002 1998.6 8.9 28
POL2b 74.694 42.68 27.7 6.3 -0.6 4.5 0.3 0.3 -0.001 1995.5 12 48
PPR4 78.292 42.547 28.8 9.8 0.4 9 0.4 0.4 0 1998.8 8 7
PSE4 82.598 50.357 24.9 1.9 -2.5 2.4 0.7 0.7 0.01 2000.6 4 5
PSH4 78.926 42.721 28.7 10.1 0.3 9.4 0.4 0.4 0.004 1998.8 8 7
PTO4 78.861 42.62 29.3 9.7 0.9 9.1 0.4 0.4 0.001 1998.8 8 6
PTU4 75.088 40.578 28.2 12.3 -0.4 10.8 0.4 0.4 0.007 1997.7 8.9 8
PUR4 73.627 41.288 25.8 8.8 -2.5 6.8 0.4 0.4 0 1997.7 7.1 7
QIAK 75.404 40.094 29.1 14.6 0.6 13.1 0.5 0.5 0.017 1998.9 6.3 7
QIQI 76.978 40.844 28 14.1 -0.7 13.2 0.5 0.5 0.015 1998.9 6.3 6
RAL4 74.252 41.912 27.5 7.4 -0.9 5.5 0.3 0.3 0.007 1995.6 11.1 6
RAS4 82.306 46.121 28.3 4 0.4 4.2 0.7 0.7 0.039 2000.6 4 5
RGA4 75.195 43.174 26.7 4.3 -1.6 2.6 0.5 0.5 0.014 1995.6 6.8 4
RKA4 79.142 41.964 29 13 0.5 12.5 0.8 0.8 0.008 1998.8 2.7 4
RKR4 74.742 41.726 27.7 7.8 -0.8 6.2 0.4 0.4 0.001 1997.7 9.1 7
RKT4 79.066 42.121 29.1 11.2 0.7 10.7 0.4 0.4 -0.005 1998.8 8 6
RSO4 75.37 41.76 28.7 8.2 0 6.7 0.3 0.3 0.004 1995.5 11.2 9
RSR4 75.732 41.697 28.2 9.3 -0.2 7.8 0.3 0.3 0.004 1995.8 10.9 9
RTC4 70.391 39.864 27.4 7.2 -1.1 4.3 0.6 0.6 0.042 1999.6 4.8 4
RTR4 72.667 42.706 27 4.6 -1.4 2.3 0.5 0.5 0.007 1995.6 6.8 5
RTS4 78.906 42.548 28.7 10.9 0.3 10.4 0.4 0.4 -0.002 1998.8 8 7
RYB4 76.103 42.523 29.6 7.2 1.1 5.6 0.4 0.4 0.013 1995.8 6 4
SAAZ 79.74 42.905 29.9 10.1 2 8.4 0.6 0.6 0.009 1994.7 4 3
SAK4 76.715 42.25 29.5 8 1.1 6.8 0.4 0.4 0.005 1999.5 7 6
SAL4 82.55 49.471 25.7 0 -1.8 0.4 0.7 0.7 0.014 2000.6 4 5
SAN1 68.246 39.694 27.1 8.1 -1 4.1 0.4 0.4 0.002 1994.7 8.1 4
SAN4 70.881 41.697 26.8 5.7 -1.5 2.8 0.4 0.4 0.016 1995.5 8.9 7
SAR4 85.794 49.193 24.7 1.7 -2.8 2.9 0.7 0.7 0.011 2000.6 4 5
SARY 71.701 40.774 26.5 8.7 -1.7 5.6 0.4 0.4 0.003 1994.7 8.1 3
SAS4 78.972 42.751 29.3 7.7 0.9 7.1 0.3 0.3 0.008 1995.8 10.9 8
SAST 70.024 42.526 26.3 7.5 -1.2 3.3 0.6 0.6 0.001 1994.7 4 3
SATY 78.408 43.057 30 6.4 1.5 6 0.7 0.7 0.004 2004.4 2.1 4
SAUK 72.248 39.439 23.7 19.6 -3.8 14.4 0.9 0.9 0.019 1994.7 2 3
SBA4 80.117 42.503 30.3 10.6 2 10.3 0.7 0.7 0.004 1998.8 3.7 4
SDT4 81.186 47.381 25.9 0.8 -1.9 0.8 0.7 0.7 0.036 2000.6 4 5
SDY4 74.153 42.052 27.4 6.8 -1.1 5 0.3 0.3 0.004 1995.6 11.1 6
SELEb 77.017 43.179 28 5.5 -0.3 4.4 0.3 0.3 0.002 1997.4 10.1 42
SEM4 76.045 42.275 28.4 8.1 0 6.8 0.3 0.3 0.008 1995.6 10.8 7
SEX4 78.742 43.9 29 4.8 0.7 4.2 0.5 0.6 0.017 1998.8 4.8 5
SGD4 78.813 43.43 29.2 6.2 0.8 5.7 0.4 0.5 0.007 1998.8 6.8 9
SHA5 75.397 42.622 28.5 6.9 0.2 5.1 0.4 0.4 0.067 1995.5 9.9 4
SHAC 77.248 38.412 25.7 22.6 -2.7 21.9 0.9 0.9 0.015 1998.9 2.7 3
SHB4 72.08 39.861 30.3 10.4 1.8 7.8 0.9 0.9 0.061 1999.6 4.8 4
SHD4 80.487 43.251 29.7 7.7 1.4 7.5 0.5 0.5 0.015 1998.8 6.8 4
SHE4 78.936 43.69 29.4 6 1.2 5.5 0.6 0.6 0.018 1997.8 4.7 4
SHI4 71.532 42.454 27.3 5.3 -0.9 2.7 0.3 0.3 0.01 1995.5 12 7
SHL4 79.304 42.868 29.7 7 1.3 6.5 0.4 0.4 0.006 1998.8 7.8 8
SHY5 72.789 41.302 25.8 7.9 -2.4 5.4 1 1 0.036 2001.7 2.8 3
SJK4 77.959 42.095 28.6 12.1 0.1 11.2 0.4 0.4 -0.002 1998.8 8 6
SKA4 72.92 42.41 27.2 5.6 -1 3.3 0.3 0.3 0.013 1995.5 12 7
SKR4 79.322 42.604 30.3 10.9 1.8 10.4 0.4 0.4 0.002 1998.8 8 6
SKT4 76.354 42.246 29.2 8.2 0.8 6.6 0.4 0.5 0.011 1999.5 7 6
SLP4 83.491 49.541 25 1 -2.5 1.9 0.6 0.6 0.008 2000.6 4 5
SME4 75.772 40.476 28.7 13.9 0.2 12.4 0.6 0.6 0.015 2002.6 4 4
SMO4 77.627 41.918 28.9 12 0.4 11 0.4 0.4 -0.002 1998.8 8 6
SON4 75.423 41.914 27.5 8.6 -1 7.1 0.3 0.3 0.003 1995.5 11.2 9
SOS4 73.901 42.644 27.4 5.1 -0.9 3.1 0.5 0.6 0.014 1995.6 5.9 3
SRB4 78.307 42.786 28.6 7.1 0.2 6.3 0.3 0.3 0.007 1995.8 10.9 8
SRT4 78.275 43.227 29 5.6 0.7 4.8 0.5 0.5 0.004 1998.8 6.8 5
SSR4 77.89 42.349 28.3 10.7 -0.3 9.7 0.4 0.4 -0.001 1998.8 8 7
STE4 75.814 42.128 28.7 7.4 0.3 6 0.8 0.8 0.017 2002.6 3.8 3
SUG4 78.226 43.433 29.2 5 0.9 4.3 0.6 0.6 0.02 1998.8 4.8 5
SUGU 76.512 39.806 28.3 20.2 -0.2 18.7 0.6 0.6 -0.016 1998.9 4.3 4
SUM4 80.412 42.906 29.6 7.8 1.1 7.7 0.4 0.4 0.008 1998.8 7.8 8
SUMKb 73.997 44.208 26.8 3.8 -1.3 1.9 0.4 0.4 0.002 2000.7 6.7 22
SUU4 73.555 42.206 28.4 6.6 0.1 4.5 0.4 0.4 0.007 1995.5 9.9 7
SYT4 73.257 39.732 28 11.8 -0.5 9.6 0.6 0.6 0.023 1999.6 4.8 4
TAKR 67.809 42.233 25.3 5.7 -2.4 1.4 0.7 0.7 0.006 1995.7 3 3
TALAb 72.21 42.446 27 5.2 -1.2 2.7 0.3 0.3 0.003 1998.8 8.7 32
TALD 73.657 44.238 27.8 5 -0.1 2.3 0.7 0.8 0.009 1995.7 3 3
TAM4 77.553 42.137 28.4 11.3 -0.1 10.2 0.4 0.4 0.005 1998.8 7.7 7
TASHb 75.234 37.775 24 24.9 -4.6 23.2 0.4 0.4 0.003 1998.9 6.3 6
TEG4 76.594 42.137 28.8 9.7 0.4 8.4 0.3 0.3 0.012 1995.8 10.7 7
TEK4 78.842 44.855 27.2 3.7 -1 3.3 0.5 0.5 0.005 1997.8 6.8 6
TEM4 73.333 41.785 27 6.6 -1.3 4.4 0.4 0.4 0.011 1995.6 8.8 5
TEN4 80.866 46.081 27 3.6 -1 3.5 0.6 0.7 0.032 2000.6 4 5
TER4 71.146 41.539 26.5 5.7 -1.8 3 0.3 0.3 0.011 1995.5 12 8
TGU4 74.722 41.511 27.5 8.2 -0.8 6.5 0.4 0.4 0.006 1997.7 8.9 8
THR4 75.263 40.889 27.8 12.3 -0.7 10.8 0.4 0.4 0.006 1997.7 8.9 8
TOK6 75.837 42.355 28.7 6.7 0.3 5.2 0.3 0.3 0.008 1995.5 11 8
TON4 77.052 42.157 29 10.1 0.5 8.8 0.4 0.4 0.004 1998.8 7.7 7
TOR4 73.16 41.895 27.6 5.7 -0.7 3.5 0.4 0.4 0.013 1995.5 8.9 7
TOS4 77.311 42.176 28.6 10.9 0.3 9.9 0.3 0.3 0.011 1995.8 10.7 9
TRG4 75.383 40.578 28.3 13.4 -0.2 11.9 0.4 0.4 0.006 1997.7 8.9 9
TRM4 83.63 50.382 25.1 1.3 -2.2 2 0.6 0.7 0.005 2000.6 4 5
TRY4 80.126 45.514 25.5 3.7 -2.6 3.5 0.7 0.7 0.032 2000.6 4 5
TSH5 74.79 42.055 27.9 7.9 -0.5 6.2 0.4 0.4 -0.007 1997.7 9.1 4
TUA4 78.948 42.415 29.2 11.5 0.8 10.9 0.3 0.3 0.007 1995.8 10.9 8
TUM4 79.297 43.029 29.9 6.5 1.4 6.1 0.4 0.4 0.007 1998.8 7.8 8
TUR4 77.642 43.315 29.4 5.3 1.1 4.4 0.5 0.6 0.006 1997.8 5.7 4
TURG 75.388 40.517 28.3 14 -0.2 12.6 0.5 0.5 0.006 1998.9 6.3 7
TUS4 73.824 42.32 27.8 4.9 -0.5 2.9 0.3 0.3 0.005 1995.5 11.2 7
TUT4 71.203 40.212 27.6 7.8 -0.8 5 0.7 0.6 0.045 1999.6 4.8 4
TYUP 78.509 42.632 28.3 9.6 -0.1 9 0.3 0.3 0.003 1995.5 11.2 9
TZB4 73.334 40.569 27 10.4 -1.5 8.3 0.5 0.5 0.017 1997.7 6.8 8
UGAM 70.254 42.28 26.5 5.5 -1.7 2.4 0.4 0.4 0.015 1995.5 7 8
UKO4 75.959 41.934 27.8 9.3 -0.7 7.9 0.3 0.3 0.005 1995.6 11.1 7
ULT4 78.926 42.858 28.9 7.9 0.4 7.5 0.4 0.4 0.004 1998.8 7.8 8
ULU4 75.08 42.346 28 6.6 -0.4 4.9 0.5 0.5 0.016 1995.6 6 4
ULUG 74.336 39.842 27.1 17.7 -1.4 15.6 0.6 0.6 0.004 1998.9 4.3 4
URD1 75.086 43.379 27.4 6.6 -0.3 3.4 0.7 0.7 0.005 1994.7 4 7
URM4 71.958 42.354 27.4 5.2 -0.8 2.7 0.3 0.3 0.013 1995.5 12 7
URS4 76.338 42.11 28.1 8.8 -0.4 7.6 0.4 0.4 0.001 1995.6 10.1 7
URUMb 87.601 43.808 30.4 7 2.4 8.9 0.4 0.3 0.003 1998.9 8.6 33
USH4 77.969 45.739 27.3 4.2 -0.7 3.3 0.6 0.6 0.013 2000.6 4 5
UUM4 73.478 41.219 26.5 9.9 -2 7.9 0.4 0.4 0.001 1997.7 7.1 7
UYG4 79.532 44.478 26.4 4.9 -1.9 4.4 0.8 0.9 0.042 2000.6 3 4
UZB4 74.929 41.936 27.8 8 -0.6 6.2 0.3 0.3 0.004 1995.6 11.1 6
UZG4 74.78 41.069 27.3 10.7 -1.2 9.1 0.5 0.5 0.008 2000.5 6.1 5
UZL4 79.022 43.144 29.6 6.8 1.2 6.3 0.4 0.5 0.006 1998.8 6.8 8
UZU4 72.498 41.98 27.9 5.9 -0.4 3.6 0.4 0.4 0.004 1995.5 9.3 7
VAV4 81.414 50.667 25 1.4 -2.4 1.6 0.7 0.7 0.029 2000.6 4 5
VJK4 77.863 42.031 28.6 12.1 0.2 11.2 0.4 0.4 -0.007 1998.8 8 6
VKA4 79.392 42.546 29.8 10.3 1.3 9.9 0.4 0.4 0.004 1998.8 8 6
VKE4 78.833 42.898 29.4 7.4 1 6.8 0.5 0.5 0.001 1998.8 6.8 4
VKR4 76.336 42.185 29.4 8.5 1.1 7.2 0.4 0.4 0.005 1999.5 7 6
VSE4 74.999 42.221 28 6.9 -0.4 5.2 0.3 0.3 0.007 1995.6 11.1 6
VTG4 76.744 42.04 29 10.8 0.6 9.6 0.4 0.4 0.006 1998.8 7.7 6
VTU4 76.981 42.021 28.4 11.2 -0.1 10 0.4 0.4 0.004 1998.8 7.7 7
WARZ 68.967 38.854 26.2 9.1 -1.7 4.3 0.6 0.6 0.003 1994.7 4 4
WUPA 75.51 39.311 29.8 23.8 1.1 22.2 0.6 0.6 0.002 1998.9 5.2 5
WUQI 75.25 39.718 27.6 16.2 -1 14.3 0.6 0.6 0.002 1998.9 4.3 4
WUSHb 79.21 41.202 29.3 16.2 0.8 15.7 0.4 0.4 0.002 1998.9 6.3 7
YENG 76.174 38.935 29 23 0.4 21.4 0.6 0.6 -0.004 1998.9 4.3 3
YUZ4 75.741 41.979 27.8 9.1 -0.6 7.7 0.3 0.3 0.007 1995.6 11 8
YZG4 73.207 41.335 26.6 8.9 -1.9 6.9 0.7 0.6 -0.004 2000.5 4.3 4
ZAR4 82.322 49.934 25.3 1.2 -2.1 1.6 0.7 0.7 0.016 2000.6 4 5
ZAS4 84.856 47.434 27.6 3.1 -0.2 4 0.7 0.7 0.034 2000.6 4 5
ZBA4 75.009 41.092 27.3 11.1 -1.2 9.4 0.4 0.4 0.006 1997.7 8.9 9
ZEPU 77.277 38.174 27.9 19.4 -0.2 18.4 1 0.8 0.004 1998.9 4.3 4
ZES4 80.889 49.619 25.5 1.2 -2.2 1.2 0.7 0.7 0.029 2000.6 4 5
ZKK4 74.379 42.302 27.6 5.7 -0.9 4 0.4 0.4 0.002 1997.7 9.1 7
ZTR4 82.566 47.611 27.3 1.4 -0.5 1.8 0.7 0.7 0.028 2000.6 4 5
